                  mocknum                 nthreads       getmock_calcwtheta                 numtbins              stack_boxes            push_box2catz             get_ra_dec_z             bin_redshifs              get_randoms                 numrands      push_box2catz_Rands       get_ra_dec_z_Rands       bin_redshifs_Rands                     zbin                  numgals              calc_wtheta            galgal_counts          randrand_counts           galrand_counts             counts_to_cf
          40819.1451                  32   1554749499.661766                  74                 0.0                 0.0                0.01                0.11                0.15             3810328                 0.0                0.03                0.11                1.73              667534                2.05                0.64                0.61                 0.8                 0.0
               40819.1504                       32       1554750275.9160416                       74                      0.0                      0.0                     0.01                     0.12                     0.15                  3805832                      0.0                     0.03                     0.11                     0.67                  1501625                     3.02                     0.77                     0.81                     1.43                      0.0
          40819.1504                  32  1554750275.9160416                  74                 0.0                 0.0                0.01                0.12                0.15             3805832                 0.0                0.03                0.11                 1.2             1636261                7.43                2.13                2.13                3.17                 0.0
          40819.1504                  32  1554750275.9160416                  74                 0.0                 0.0                0.01                0.12                0.15             3805832                 0.0                0.03                0.11                1.73              667946                2.07                0.65                0.62                0.79                 0.0
               40819.1517                       32       1554751045.2474372                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3808032                      0.0                     0.03                     0.11                     0.67                  1503222                     3.01                     0.79                      0.8                     1.42                      0.0
          40819.1517                  32  1554751045.2474372                  74                 0.0                 0.0                0.01                0.11                0.14             3808032                 0.0                0.03                0.11                 1.2             1637490                7.41                2.09                 2.1                3.23                 0.0
          40819.1517                  32  1554751045.2474372                  74                 0.0                 0.0                0.01                0.11                0.14             3808032                 0.0                0.03                0.11                1.73              667320                2.06                0.63                0.62                 0.8                 0.0
                40819.153                       32       1554751811.9375358                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3805512                      0.0                     0.03                     0.11                     0.67                  1502871                      3.0                     0.78                     0.79                     1.43                      0.0
           40819.153                  32  1554751811.9375358                  74                 0.0                 0.0                0.01                0.11                0.14             3805512                 0.0                0.03                0.11                 1.2             1637035                7.34                2.06                2.06                3.22                 0.0
           40819.153                  32  1554751811.9375358                  74                 0.0                 0.0                0.01                0.11                0.14             3805512                 0.0                0.03                0.11                1.73              665606                2.05                0.63                0.63                0.79                 0.0
               40819.1542                       32       1554752572.1626558                       74                      0.0                      0.0                     0.01                     0.12                     0.14                  3803088                      0.0                     0.03                     0.11                     0.67                  1501790                     2.98                     0.78                     0.78                     1.41                      0.0
          40819.1542                  32  1554752572.1626558                  74                 0.0                 0.0                0.01                0.12                0.14             3803088                 0.0                0.03                0.11                 1.2             1635100                7.44                2.06                2.13                3.25                 0.0
          40819.1542                  32  1554752572.1626558                  74                 0.0                 0.0                0.01                0.12                0.14             3803088                 0.0                0.03                0.11                1.73              666198                2.06                0.64                0.63                0.79                 0.0
               40819.1555                       32       1554753338.5117388                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3811880                      0.0                     0.03                     0.11                     0.67                  1504353                     3.04                      0.8                     0.81                     1.43                      0.0
          40819.1555                  32  1554753338.5117388                  74                 0.0                 0.0                0.01                0.11                0.14             3811880                 0.0                0.03                0.11                 1.2             1638781                7.51                2.14                2.11                3.26                 0.0
          40819.1555                  32  1554753338.5117388                  74                 0.0                 0.0                0.01                0.11                0.14             3811880                 0.0                0.03                0.11                1.73              668746                2.08                0.64                0.64                 0.8                 0.0
               40819.1608                       32        1554754113.387237                       74                      0.0                      0.0                     0.01                     0.12                     0.16                  3807560                      0.0                     0.03                     0.12                     0.67                  1502839                     3.01                     0.81                     0.78                     1.41                      0.0
          40819.1608                  32   1554754113.387237                  74                 0.0                 0.0                0.01                0.12                0.16             3807560                 0.0                0.03                0.12                 1.2             1637638                7.46                2.14                 2.1                3.21                 0.0
          40819.1608                  32   1554754113.387237                  74                 0.0                 0.0                0.01                0.12                0.16             3807560                 0.0                0.03                0.12                1.73              667083                2.05                0.63                0.62                 0.8                 0.0
               40819.1621                       32       1554754883.1937902                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3807200                      0.0                     0.03                     0.11                     0.67                  1504001                      3.0                     0.78                     0.79                     1.44                      0.0
          40819.1621                  32  1554754883.1937902                  74                 0.0                 0.0                0.01                0.11                0.14             3807200                 0.0                0.03                0.11                 1.2             1637385                7.57                2.16                2.14                3.27                 0.0
          40819.1621                  32  1554754883.1937902                  74                 0.0                 0.0                0.01                0.11                0.14             3807200                 0.0                0.03                0.11                1.73              665814                2.11                0.66                0.63                0.82                 0.0
               40819.1634                       32       1554755661.7202194                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3803256                      0.0                     0.03                     0.11                     0.67                  1501479                      3.1                     0.81                     0.82                     1.48                      0.0
          40819.1634                  32  1554755661.7202194                  74                 0.0                 0.0                0.01                0.11                0.14             3803256                 0.0                0.03                0.11                 1.2             1635612                7.49                2.13                2.12                3.24                 0.0
          40819.1634                  32  1554755661.7202194                  74                 0.0                 0.0                0.01                0.11                0.14             3803256                 0.0                0.03                0.11                1.73              666165                2.08                0.65                0.62                 0.8                 0.0
               40819.1647                       32       1554756439.2526374                       74                      0.0                      0.0                     0.01                     0.11                     0.15                  3802368                      0.0                     0.03                     0.11                     0.67                  1500095                     3.05                      0.8                     0.81                     1.45                      0.0
          40819.1647                  32  1554756439.2526374                  74                 0.0                 0.0                0.01                0.11                0.15             3802368                 0.0                0.03                0.11                 1.2             1634933                7.55                2.12                2.11                3.32                 0.0
          40819.1647                  32  1554756439.2526374                  74                 0.0                 0.0                0.01                0.11                0.15             3802368                 0.0                0.03                0.11                1.73              667340                2.07                0.63                0.62                0.82                 0.0
                 40819.17                       32        1554757217.431986                       74                      0.0                      0.0                     0.01                     0.11                     0.15                  3810032                      0.0                     0.03                     0.11                     0.67                  1503520                     3.06                      0.8                     0.81                     1.45                      0.0
            40819.17                  32   1554757217.431986                  74                 0.0                 0.0                0.01                0.11                0.15             3810032                 0.0                0.03                0.11                 1.2             1638365                7.54                2.15                2.12                3.27                 0.0
            40819.17                  32   1554757217.431986                  74                 0.0                 0.0                0.01                0.11                0.15             3810032                 0.0                0.03                0.11                1.73              668147                2.07                0.64                0.62                0.82                 0.0
               40819.1713                       32       1554757995.7375915                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3808600                      0.0                     0.03                     0.11                     0.67                  1503226                     3.11                      0.8                     0.81                     1.49                      0.0
          40819.1713                  32  1554757995.7375915                  74                 0.0                 0.0                0.01                0.11                0.14             3808600                 0.0                0.03                0.11                 1.2             1637069                7.61                2.16                2.12                3.33                 0.0
          40819.1713                  32  1554757995.7375915                  74                 0.0                 0.0                0.01                0.11                0.14             3808600                 0.0                0.03                0.11                1.73              668305                 2.1                0.65                0.62                0.82                 0.0
               40819.1726                       32       1554758782.3806705                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3801464                      0.0                     0.03                     0.11                     0.67                  1499180                     3.05                     0.78                     0.83                     1.43                      0.0
          40819.1726                  32  1554758782.3806705                  74                 0.0                 0.0                0.01                0.11                0.14             3801464                 0.0                0.03                0.11                 1.2             1634368                7.53                 2.1                2.12                3.31                 0.0
          40819.1726                  32  1554758782.3806705                  74                 0.0                 0.0                0.01                0.11                0.14             3801464                 0.0                0.03                0.11                1.73              667916                 2.1                0.65                0.63                0.82                 0.0
               40819.1739                       32          1554759560.0978                       74                      0.0                      0.0                     0.01                     0.11                     0.14                  3802152                      0.0                     0.03                     0.11                     0.67                  1501128                     3.09                     0.81                      0.8                     1.48                      0.0
          40819.1739                  32     1554759560.0978                  74                 0.0                 0.0                0.01                0.11                0.14             3802152                 0.0                0.03                0.11                 1.2             1635271                7.61                2.17                2.11                3.33                 0.0
          40819.1739                  32     1554759560.0978                  74                 0.0                 0.0                0.01                0.11                0.14             3802152                 0.0                0.03                0.11                1.73              665753                2.07                0.63                0.62                0.81                 0.0
