                  mocknum       getmock_calcwtheta              stack_boxes               push_box2z             get_ra_dec_z             bin_redshifs                     zbin                  numgals              calc_wtheta            galgal_counts              get_randoms                 numrands          randrand_counts           galrand_counts             counts_to_cf
               30419.0138       1551681519.8592818                     10.0                      0.0                    41.93                     0.12                      0.7                  1552264                   476.48                     1.47                   177.08                 15522640                   263.28                    34.64                      0.0
          30419.0138  1551681519.8592818                10.0                 0.0               41.93                0.12                1.19             1492391              474.92                2.67              174.89            15522640              254.16               43.21                 0.0
          30419.0138  1551681519.8592818                10.0                 0.0               41.93                0.12                1.67              759609              462.02                1.03              173.99            15522640              260.06               26.93                 0.0
