# 'bin_' columns contain bin centers (theta in degrees, r in Mpc/h), 'stat_' contain the stat for each bin, others are extra info.

                     mock                     zbin                stat_name                   Nstack                    Ngals                   Nrands                    bin_0                    bin_1                    bin_2                    bin_3                    bin_4                    bin_5                    bin_6                    bin_7                    bin_8                    bin_9                   bin_10                   bin_11                   bin_12                   bin_13                   bin_14                   bin_15                   bin_16                   bin_17                   bin_18                   bin_19                   bin_20                   bin_21                   bin_22                   bin_23                   bin_24                   bin_25                   bin_26                   bin_27                   bin_28                   bin_29                   bin_30                   bin_31                   bin_32                   bin_33                   bin_34                   bin_35                   bin_36                   bin_37                   bin_38                   bin_39                   bin_40                   bin_41                   bin_42                   bin_43                   bin_44                   bin_45                   bin_46                   bin_47                   bin_48                   bin_49                   stat_0                   stat_1                   stat_2                   stat_3                   stat_4                   stat_5                   stat_6                   stat_7                   stat_8                   stat_9                  stat_10                  stat_11                  stat_12                  stat_13                  stat_14                  stat_15                  stat_16                  stat_17                  stat_18                  stat_19                  stat_20                  stat_21                  stat_22                  stat_23                  stat_24                  stat_25                  stat_26                  stat_27                  stat_28                  stat_29                  stat_30                  stat_31                  stat_32                  stat_33                  stat_34                  stat_35                  stat_36                  stat_37                  stat_38                  stat_39                  stat_40                  stat_41                  stat_42                  stat_43                  stat_44                  stat_45                  stat_46                  stat_47                  stat_48                  stat_49
               50219.1441                     0.75                   wtheta                        0              4.76238e+05              1.50000e+06        0.105020000000000        0.115580000000000        0.127190000000000        0.139970000000000        0.154040000000000        0.169510000000000        0.186550000000000        0.205290000000000        0.225920000000000        0.248620000000000        0.273610000000000        0.301100000000000        0.331350000000000        0.364650000000000        0.401290000000000        0.441610000000000        0.485990000000000        0.534820000000000        0.588570000000000        0.647710000000000        0.712790000000000        0.784410000000000        0.863240000000000        0.949980000000000        1.045430000000000        1.150480000000000        1.266090000000000        1.393310000000000        1.533310000000000        1.687390000000000        1.856940000000000        2.043530000000000        2.248880000000000        2.474850000000000        2.723530000000000        2.997200000000000        3.298370000000000        3.629810000000000        3.994540000000000        4.395930000000000        4.837650000000000        5.323750000000000        5.858700000000000        6.447410000000000        7.095270000000000        7.808230000000000        8.592829999999999        9.456270000000000       10.406470000000001       11.452150000000000        0.072148650037095        0.066337679573900        0.062156467502146        0.056463377032724        0.053965662023504        0.049899649254372        0.045307690919075        0.040470159225745        0.037965602018302        0.033710512071418        0.031615001408903        0.029366035938300        0.026239129225335        0.023491188127423        0.020315930490474        0.018360778031678        0.015599409084607        0.014032038099099        0.011755110986494        0.009518616566860        0.007932924752642        0.006924546997106        0.005676182578602        0.004907897101028        0.003775649802245        0.002520450771642        0.002112399584821        0.000874224849332        0.000588629471333        0.000553075896709        0.000863466538247        0.000945058954336        0.000887754911269        0.000729630633340        0.000415692737505       -0.000230551895065       -0.000461483773590       -0.000232025278927       -0.000250626809119       -0.000275351625960       -0.000135896172508       -0.000130727049941       -0.000373780313524       -0.000199712374549       -0.000228692124621       -0.000269550146086       -0.000123621872749       -0.000393907094135       -0.000036411734186        0.000050087740614
                50219.145                     0.75                       xi                        0              4.75610e+05              1.50000e+06      100.472219999999993      101.421120000000002      102.378979999999999      103.345889999999997      104.321929999999995      105.307180000000002      106.301749999999998      107.305700000000002      108.319140000000004      109.342150000000004      110.374820000000000      111.417240000000007      112.469510000000000      113.531710000000004      114.603949999999998      115.686319999999995      116.778899999999993      117.881810000000002      118.995130000000003      120.118970000000004      121.253420000000006      122.398579999999995      123.554559999999995      124.721459999999993      125.899379999999994      127.088419999999999      128.288700000000006      129.500300000000010      130.723360000000014      131.957960000000014      133.204219999999992      134.462250000000012      135.732169999999996      137.014080000000007      138.308089999999993      139.614329999999995      140.932899999999989      142.263920000000013      143.607519999999994      144.963809999999995      146.332899999999995      147.714930000000010      149.110000000000014      150.518259999999998      151.939809999999994      153.374789999999990      154.823319999999995      156.285529999999994      157.761560000000003      159.251519999999999        0.002704381942749        0.002404689788818        0.001974463462830        0.002390265464783        0.002972960472107        0.003267526626587        0.002740621566772        0.002872824668884        0.003055334091187        0.002941727638245        0.003609418869019        0.002816677093506        0.002828836441040        0.002238750457764        0.002542972564697        0.002089858055115        0.001918315887451        0.001753211021423        0.001476049423218        0.001274108886719        0.001383185386658        0.000887989997864        0.000623941421509        0.000382304191589        0.000159382820129        0.000109791755676       -0.000273108482361       -0.000624477863312       -0.000399708747864       -0.000451207160950       -0.000597715377808       -0.000821828842163       -0.000639200210571       -0.000670671463013       -0.000849604606628       -0.000777840614319       -0.000816643238068       -0.001073420047760       -0.000900030136108       -0.001011490821838       -0.001151442527771       -0.001466453075409       -0.001240551471710       -0.001224875450134       -0.000887632369995       -0.000877618789673       -0.001197934150696       -0.001018524169922       -0.000861048698425       -0.001053392887115
               50219.1453                     0.75                       xi                        0              4.75603e+05              1.50000e+06      100.472219999999993      101.421120000000002      102.378979999999999      103.345889999999997      104.321929999999995      105.307180000000002      106.301749999999998      107.305700000000002      108.319140000000004      109.342150000000004      110.374820000000000      111.417240000000007      112.469510000000000      113.531710000000004      114.603949999999998      115.686319999999995      116.778899999999993      117.881810000000002      118.995130000000003      120.118970000000004      121.253420000000006      122.398579999999995      123.554559999999995      124.721459999999993      125.899379999999994      127.088419999999999      128.288700000000006      129.500300000000010      130.723360000000014      131.957960000000014      133.204219999999992      134.462250000000012      135.732169999999996      137.014080000000007      138.308089999999993      139.614329999999995      140.932899999999989      142.263920000000013      143.607519999999994      144.963809999999995      146.332899999999995      147.714930000000010      149.110000000000014      150.518259999999998      151.939809999999994      153.374789999999990      154.823319999999995      156.285529999999994      157.761560000000003      159.251519999999999        0.002963781356812        0.002691268920898        0.002484798431396        0.002314805984497        0.003299236297607        0.003060579299927        0.003311514854431        0.003001332283020        0.002880334854126        0.002892613410950        0.003163695335388        0.002429604530334        0.002296090126038        0.002245664596558        0.002712368965149        0.002182841300964        0.002118110656738        0.001798510551453        0.002001047134399        0.001619696617126        0.001453638076782        0.001254677772522        0.000829935073853        0.000387549400330        0.000280380249023        0.000230550765991        0.000154376029968       -0.000261306762695       -0.000027179718018       -0.000132501125336       -0.000348985195160       -0.000872433185577       -0.001066625118256       -0.000493407249451       -0.000861763954163       -0.000939249992371       -0.001319468021393       -0.001386225223541       -0.001438260078430       -0.001314461231232       -0.001400232315063       -0.001676082611084       -0.001554667949677       -0.001570284366608       -0.001430273056030       -0.001485347747803       -0.001836121082306       -0.001528501510620       -0.001310110092163       -0.001436293125153
               50219.1453                     0.75                       wp                        0              4.75603e+05              1.50000e+06      100.472219999999993      101.421120000000002      102.378979999999999      103.345889999999997      104.321929999999995      105.307180000000002      106.301749999999998      107.305700000000002      108.319140000000004      109.342150000000004      110.374820000000000      111.417240000000007      112.469510000000000      113.531710000000004      114.603949999999998      115.686319999999995      116.778899999999993      117.881810000000002      118.995130000000003      120.118970000000004      121.253420000000006      122.398579999999995      123.554559999999995      124.721459999999993      125.899379999999994      127.088419999999999      128.288700000000006      129.500300000000010      130.723360000000014      131.957960000000014      133.204219999999992      134.462250000000012      135.732169999999996      137.014080000000007      138.308089999999993      139.614329999999995      140.932899999999989      142.263920000000013      143.607519999999994      144.963809999999995      146.332899999999995      147.714930000000010      149.110000000000014      150.518259999999998      151.939809999999994      153.374789999999990      154.823319999999995      156.285529999999994      157.761560000000003      159.251519999999999        0.685501098632812        0.661182403564453        0.515842437744141        0.506758689880371        0.163722038269043        0.423073768615723        0.289750099182129        0.549745559692383        0.378370285034180        0.343894958496094        0.202202796936035        0.239253044128418        0.422286987304688        0.299119949340820        0.081539154052734        0.000071525573730        0.069522857666016       -0.077533721923828       -0.338852405548096       -0.059044361114502       -0.206530094146729       -0.356805324554443       -0.296616554260254       -0.152349472045898       -0.428152084350586       -0.433588027954102       -0.265967845916748       -0.465416908264160       -0.587224960327148       -0.668263435363770       -0.506508350372314       -0.467061996459961       -0.388276576995850       -0.440883636474609       -0.502681732177734       -0.420892238616943       -0.578713417053223       -0.447964668273926       -0.469851493835449       -0.566840171813965       -0.828373432159424       -0.529181957244873       -0.758957862854004       -0.703060626983643       -0.689542293548584       -0.560045242309570       -0.411844253540039       -0.205457210540771       -0.312530994415283       -0.333917140960693
               50219.1456                     0.75                       xi                        0              4.75791e+05              1.50000e+06      100.472219999999993      101.421120000000002      102.378979999999999      103.345889999999997      104.321929999999995      105.307180000000002      106.301749999999998      107.305700000000002      108.319140000000004      109.342150000000004      110.374820000000000      111.417240000000007      112.469510000000000      113.531710000000004      114.603949999999998      115.686319999999995      116.778899999999993      117.881810000000002      118.995130000000003      120.118970000000004      121.253420000000006      122.398579999999995      123.554559999999995      124.721459999999993      125.899379999999994      127.088419999999999      128.288700000000006      129.500300000000010      130.723360000000014      131.957960000000014      133.204219999999992      134.462250000000012      135.732169999999996      137.014080000000007      138.308089999999993      139.614329999999995      140.932899999999989      142.263920000000013      143.607519999999994      144.963809999999995      146.332899999999995      147.714930000000010      149.110000000000014      150.518259999999998      151.939809999999994      153.374789999999990      154.823319999999995      156.285529999999994      157.761560000000003      159.251519999999999        0.002602934837341        0.002337574958801        0.002559423446655        0.002342343330383        0.002796411514282        0.002428531646729        0.002634525299072        0.003178477287292        0.002687096595764        0.002717375755310        0.003010511398315        0.003093719482422        0.002750396728516        0.002480030059814        0.002762556076050        0.002485632896423        0.002416729927063        0.001675009727478        0.001888632774353        0.001341104507446        0.001351118087769        0.001030564308167        0.000612854957581        0.000394701957703        0.000315308570862        0.000509142875671        0.000244975090027       -0.000191867351532       -0.000186204910278        0.000123143196106       -0.000351965427399       -0.000405132770538       -0.000685513019562       -0.000721216201782       -0.000688195228577       -0.001042485237122       -0.001005351543427       -0.001178562641144       -0.001614928245544       -0.001453518867493       -0.001343131065369       -0.001377105712891       -0.001294553279877       -0.001261234283447       -0.001208722591400       -0.001147031784058       -0.001502394676208       -0.001228868961334       -0.001192808151245       -0.001267015933990
               50219.1456                     0.75                       wp                        0              4.75791e+05              1.50000e+06      100.472219999999993      101.421120000000002      102.378979999999999      103.345889999999997      104.321929999999995      105.307180000000002      106.301749999999998      107.305700000000002      108.319140000000004      109.342150000000004      110.374820000000000      111.417240000000007      112.469510000000000      113.531710000000004      114.603949999999998      115.686319999999995      116.778899999999993      117.881810000000002      118.995130000000003      120.118970000000004      121.253420000000006      122.398579999999995      123.554559999999995      124.721459999999993      125.899379999999994      127.088419999999999      128.288700000000006      129.500300000000010      130.723360000000014      131.957960000000014      133.204219999999992      134.462250000000012      135.732169999999996      137.014080000000007      138.308089999999993      139.614329999999995      140.932899999999989      142.263920000000013      143.607519999999994      144.963809999999995      146.332899999999995      147.714930000000010      149.110000000000014      150.518259999999998      151.939809999999994      153.374789999999990      154.823319999999995      156.285529999999994      157.761560000000003      159.251519999999999        0.577640533447266        0.551319122314453        0.589442253112793        0.682067871093750        0.434017181396484        0.552749633789062        0.464630126953125        0.667691230773926        0.387883186340332        0.387096405029297        0.362777709960938        0.473356246948242        0.452327728271484        0.518131256103516        0.200772285461426        0.236749649047852       -0.004613399505615       -0.053644180297852       -0.260961055755615       -0.084292888641357       -0.098419189453125       -0.131821632385254       -0.150454044342041       -0.035226345062256       -0.265574455261230       -0.304162502288818       -0.118696689605713       -0.370359420776367       -0.492382049560547       -0.607788562774658       -0.470066070556641       -0.539016723632812       -0.382590293884277       -0.372147560119629       -0.543737411499023       -0.451862812042236       -0.548565387725830       -0.421822071075439       -0.330805778503418       -0.397932529449463       -0.615012645721436       -0.383305549621582       -0.556254386901855       -0.538301467895508       -0.559222698211670       -0.371003150939941       -0.344681739807129       -0.223624706268311       -0.015950202941895       -0.249946117401123
               50219.1456                     0.75                       xi                        0              4.75607e+05              1.50000e+06      100.472219999999993      101.421120000000002      102.378979999999999      103.345889999999997      104.321929999999995      105.307180000000002      106.301749999999998      107.305700000000002      108.319140000000004      109.342150000000004      110.374820000000000      111.417240000000007      112.469510000000000      113.531710000000004      114.603949999999998      115.686319999999995      116.778899999999993      117.881810000000002      118.995130000000003      120.118970000000004      121.253420000000006      122.398579999999995      123.554559999999995      124.721459999999993      125.899379999999994      127.088419999999999      128.288700000000006      129.500300000000010      130.723360000000014      131.957960000000014      133.204219999999992      134.462250000000012      135.732169999999996      137.014080000000007      138.308089999999993      139.614329999999995      140.932899999999989      142.263920000000013      143.607519999999994      144.963809999999995      146.332899999999995      147.714930000000010      149.110000000000014      150.518259999999998      151.939809999999994      153.374789999999990      154.823319999999995      156.285529999999994      157.761560000000003      159.251519999999999        0.003300666809082        0.002627611160278        0.002401828765869        0.002897858619690        0.003209710121155        0.003111839294434        0.002884864807129        0.003486275672913        0.002997040748596        0.002924919128418        0.003526806831360        0.003104686737061        0.002782106399536        0.002848148345947        0.003100514411926        0.002554416656494        0.002660393714905        0.002049565315247        0.001759171485901        0.001250743865967        0.000980496406555        0.001020431518555        0.000391364097595        0.000560522079468        0.000506162643433        0.000389814376831        0.000050306320190       -0.000162005424500       -0.000001192092896        0.000122427940369       -0.000097095966339       -0.000592410564423       -0.001021504402161       -0.000756978988647       -0.000942528247833       -0.001099288463593       -0.000771820545197       -0.001394867897034       -0.001065254211426       -0.001407325267792       -0.001371920108795       -0.001281142234802       -0.001027643680573       -0.001294851303101       -0.001287460327148       -0.001082777976990       -0.001523554325104       -0.001411974430084       -0.001095771789551       -0.001458823680878
               50219.1456                     0.75                       wp                        0              4.75607e+05              1.50000e+06      100.472219999999993      101.421120000000002      102.378979999999999      103.345889999999997      104.321929999999995      105.307180000000002      106.301749999999998      107.305700000000002      108.319140000000004      109.342150000000004      110.374820000000000      111.417240000000007      112.469510000000000      113.531710000000004      114.603949999999998      115.686319999999995      116.778899999999993      117.881810000000002      118.995130000000003      120.118970000000004      121.253420000000006      122.398579999999995      123.554559999999995      124.721459999999993      125.899379999999994      127.088419999999999      128.288700000000006      129.500300000000010      130.723360000000014      131.957960000000014      133.204219999999992      134.462250000000012      135.732169999999996      137.014080000000007      138.308089999999993      139.614329999999995      140.932899999999989      142.263920000000013      143.607519999999994      144.963809999999995      146.332899999999995      147.714930000000010      149.110000000000014      150.518259999999998      151.939809999999994      153.374789999999990      154.823319999999995      156.285529999999994      157.761560000000003      159.251519999999999        0.718259811401367        0.587081909179688        0.576782226562500        0.642871856689453        0.233530998229980        0.344467163085938        0.342249870300293        0.537014007568359        0.469422340393066        0.290679931640625        0.315856933593750        0.339603424072266        0.581502914428711        0.429797172546387        0.224375724792480        0.193619728088379        0.048637390136719       -0.165116786956787       -0.219762325286865       -0.135970115661621       -0.065481662750244       -0.102639198303223       -0.268650054931641       -0.014269351959229       -0.347864627838135       -0.438666343688965       -0.242114067077637       -0.375759601593018       -0.456154346466064       -0.602889060974121       -0.672805309295654       -0.518596172332764       -0.527787208557129       -0.451612472534180       -0.591123104095459       -0.630247592926025       -0.526928901672363       -0.363278388977051       -0.481867790222168       -0.608539581298828       -0.741398334503174       -0.672805309295654       -0.608503818511963       -0.758135318756104       -0.670409202575684       -0.557255744934082       -0.425827503204346       -0.306880474090576       -0.311923027038574       -0.361025333404541
               50219.1516                     0.75                       xi                        0              4.75750e+05              1.50000e+06      100.472219999999993      101.421120000000002      102.378979999999999      103.345889999999997      104.321929999999995      105.307180000000002      106.301749999999998      107.305700000000002      108.319140000000004      109.342150000000004      110.374820000000000      111.417240000000007      112.469510000000000      113.531710000000004      114.603949999999998      115.686319999999995      116.778899999999993      117.881810000000002      118.995130000000003      120.118970000000004      121.253420000000006      122.398579999999995      123.554559999999995      124.721459999999993      125.899379999999994      127.088419999999999      128.288700000000006      129.500300000000010      130.723360000000014      131.957960000000014      133.204219999999992      134.462250000000012      135.732169999999996      137.014080000000007      138.308089999999993      139.614329999999995      140.932899999999989      142.263920000000013      143.607519999999994      144.963809999999995      146.332899999999995      147.714930000000010      149.110000000000014      150.518259999999998      151.939809999999994      153.374789999999990      154.823319999999995      156.285529999999994      157.761560000000003      159.251519999999999        0.002695560455322        0.002480864524841        0.002219557762146        0.002451181411743        0.002927660942078        0.002894878387451        0.003136873245239        0.003448009490967        0.002802968025208        0.002992391586304        0.003416299819946        0.002993822097778        0.003017783164978        0.002259492874146        0.002798914909363        0.002327919006348        0.002202749252319        0.002074360847473        0.002187371253967        0.001553416252136        0.001403450965881        0.001232981681824        0.000505566596985        0.000446677207947        0.000580310821533        0.000496268272400        0.000151753425598       -0.000233232975006       -0.000205814838409        0.000160813331604       -0.000491142272949       -0.000419080257416       -0.000457048416138       -0.000887036323547       -0.000795841217041       -0.001071155071259       -0.001309454441071       -0.001242101192474       -0.001288771629333       -0.001289665699005       -0.001655936241150       -0.001552939414978       -0.001367807388306       -0.001606464385986       -0.001125872135162       -0.001168608665466       -0.001357197761536       -0.001295924186707       -0.001266300678253       -0.001126766204834
               50219.1516                     0.75                       wp                        0              4.75750e+05              1.50000e+06      100.472219999999993      101.421120000000002      102.378979999999999      103.345889999999997      104.321929999999995      105.307180000000002      106.301749999999998      107.305700000000002      108.319140000000004      109.342150000000004      110.374820000000000      111.417240000000007      112.469510000000000      113.531710000000004      114.603949999999998      115.686319999999995      116.778899999999993      117.881810000000002      118.995130000000003      120.118970000000004      121.253420000000006      122.398579999999995      123.554559999999995      124.721459999999993      125.899379999999994      127.088419999999999      128.288700000000006      129.500300000000010      130.723360000000014      131.957960000000014      133.204219999999992      134.462250000000012      135.732169999999996      137.014080000000007      138.308089999999993      139.614329999999995      140.932899999999989      142.263920000000013      143.607519999999994      144.963809999999995      146.332899999999995      147.714930000000010      149.110000000000014      150.518259999999998      151.939809999999994      153.374789999999990      154.823319999999995      156.285529999999994      157.761560000000003      159.251519999999999        0.589442253112793        0.620341300964355        0.733566284179688        0.535082817077637        0.510835647583008        0.618338584899902        0.556540489196777        0.726056098937988        0.400114059448242        0.512337684631348        0.241613388061523        0.312209129333496        0.466203689575195        0.427508354187012        0.169014930725098        0.013875961303711        0.043916702270508       -0.102710723876953       -0.149309635162354       -0.139832496643066       -0.226056575775146       -0.244367122650146       -0.232923030853271       -0.199091434478760       -0.416350364685059       -0.551533699035645       -0.298440456390381       -0.494313240051270       -0.519704818725586       -0.560617446899414       -0.676023960113525       -0.580644607543945       -0.455725193023682       -0.451254844665527       -0.570631027221680       -0.559008121490479       -0.776159763336182       -0.494921207427979       -0.505900382995605       -0.652027130126953       -0.882375240325928       -0.545775890350342       -0.591838359832764       -0.628244876861572       -0.470244884490967       -0.457763671875000       -0.522780418395996       -0.257956981658936       -0.305557250976562       -0.300157070159912
