                  mocknum                 nthreads       getmock_calcwtheta                 numtbins              stack_boxes            push_box2catz             get_ra_dec_z             bin_redshifs              get_randoms                 numrands      push_box2catz_Rands       get_ra_dec_z_Rands       bin_redshifs_Rands                     zbin                  numgals              calc_wtheta            galgal_counts          randrand_counts           galrand_counts             counts_to_cf
               41019.0945                       32       1554903943.7393873                       74                      0.0                      0.0                     0.01                     0.12                      0.2                  5000000                      0.0                     0.04                     0.15                     0.67                  1501659                     8.81                      1.7                     2.99                     4.11                      0.0
          41019.0945                  32  1554903943.7393873                  74                 0.0                 0.0                0.01                0.12                 0.2             5000000                 0.0                0.04                0.15                 1.2             1635335                21.7                4.53                7.86                 9.3                 0.0
          41019.0945                  32  1554903943.7393873                  74                 0.0                 0.0                0.01                0.12                 0.2             5000000                 0.0                0.04                0.15                1.73              667086                6.04                1.42                2.36                2.26                 0.0
               41019.1022                       32       1554906157.7142565                       74                      0.0                      0.0                     0.01                     0.13                     0.21                  5000000                      0.0                     0.04                     0.16                     0.67                  1502758                     8.79                     1.72                     2.98                     4.09                      0.0
          41019.1022                  32  1554906157.7142565                  74                 0.0                 0.0                0.01                0.13                0.21             5000000                 0.0                0.04                0.16                 1.2             1637351               21.82                4.58                7.94                9.31                 0.0
          41019.1022                  32  1554906157.7142565                  74                 0.0                 0.0                0.01                0.13                0.21             5000000                 0.0                0.04                0.16                1.73              667587                6.03                1.42                2.34                2.27                 0.0
               41019.1059                       32       1554908378.3032548                       74                      0.0                      0.0                     0.01                     0.12                      0.2                  5000000                      0.0                     0.04                     0.16                     0.67                  1503104                     8.77                      1.7                     2.98                     4.09                      0.0
          41019.1059                  32  1554908378.3032548                  74                 0.0                 0.0                0.01                0.12                 0.2             5000000                 0.0                0.04                0.16                 1.2             1637244               21.79                4.56                8.01                9.22                 0.0
          41019.1059                  32  1554908378.3032548                  74                 0.0                 0.0                0.01                0.12                 0.2             5000000                 0.0                0.04                0.16                1.73              668100                 6.0                 1.4                 2.3                 2.3                 0.0
               41019.1136                       32       1554910594.1068988                       74                      0.0                      0.0                     0.01                     0.12                      0.2                  5000000                      0.0                     0.04                     0.16                     0.67                  1501834                     8.67                     1.69                     2.92                     4.06                      0.0
          41019.1136                  32  1554910594.1068988                  74                 0.0                 0.0                0.01                0.12                 0.2             5000000                 0.0                0.04                0.16                 1.2             1635987               21.81                4.51                8.01                9.29                 0.0
          41019.1136                  32  1554910594.1068988                  74                 0.0                 0.0                0.01                0.12                 0.2             5000000                 0.0                0.04                0.16                1.73              666931                6.03                1.39                2.36                2.28                 0.0
               41019.1213                       32       1554912805.6403165                       74                      0.0                      0.0                     0.01                     0.11                      0.2                  5000000                      0.0                     0.04                     0.15                     0.67                  1502512                     8.79                     1.71                     2.96                     4.12                      0.0
          41019.1213                  32  1554912805.6403165                  74                 0.0                 0.0                0.01                0.11                 0.2             5000000                 0.0                0.04                0.15                 1.2             1636740               21.51                4.52                7.75                9.24                 0.0
          41019.1213                  32  1554912805.6403165                  74                 0.0                 0.0                0.01                0.11                 0.2             5000000                 0.0                0.04                0.15                1.73              668836                6.02                 1.4                2.35                2.27                 0.0
                41019.125                       32          1554915005.3414                       74                      0.0                      0.0                     0.01                     0.11                      0.2                  5000000                      0.0                     0.04                     0.16                     0.67                  1503093                     8.74                      1.7                     2.96                     4.08                      0.0
           41019.125                  32     1554915005.3414                  74                 0.0                 0.0                0.01                0.11                 0.2             5000000                 0.0                0.04                0.16                 1.2             1636492               21.65                 4.5                7.82                9.33                 0.0
           41019.125                  32     1554915005.3414                  74                 0.0                 0.0                0.01                0.11                 0.2             5000000                 0.0                0.04                0.16                1.73              668423                5.99                1.41                2.31                2.27                 0.0
               41019.1326                       32        1554917209.324342                       74                      0.0                      0.0                     0.01                     0.12                      0.2                  5000000                      0.0                     0.04                     0.15                     0.67                  1501755                     8.76                     1.72                     2.97                     4.08                      0.0
          41019.1326                  32   1554917209.324342                  74                 0.0                 0.0                0.01                0.12                 0.2             5000000                 0.0                0.04                0.15                 1.2             1636109               21.67                4.54                7.83                 9.3                 0.0
          41019.1326                  32   1554917209.324342                  74                 0.0                 0.0                0.01                0.12                 0.2             5000000                 0.0                0.04                0.15                1.73              666408                5.97                1.39                2.32                2.26                 0.0
               41019.1403                       32        1554919414.046532                       74                      0.0                      0.0                     0.01                     0.11                      0.2                  5000000                      0.0                     0.04                     0.15                     0.67                  1500739                     8.74                     1.71                     2.97                     4.07                      0.0
          41019.1403                  32   1554919414.046532                  74                 0.0                 0.0                0.01                0.11                 0.2             5000000                 0.0                0.04                0.15                 1.2             1636414               21.73                4.55                7.84                9.35                 0.0
          41019.1403                  32   1554919414.046532                  74                 0.0                 0.0                0.01                0.11                 0.2             5000000                 0.0                0.04                0.15                1.73              667431                5.96                1.39                2.29                2.28                 0.0
