                  mocknum                  getmock              stack_boxes            push_box2catz             get_ra_dec_z             bin_redshifs              get_randoms                 numrands      push_box2catz_Rands       get_ra_dec_z_Rands       bin_redshifs_Rands                 nthreads               calc_stats                 numtbins                 numrbins                    pimax                     zbin                  numgals              calc_wtheta         wt_galgal_counts       wt_randrand_counts        wt_galrand_counts          wt_counts_to_cf                  calc_xi                  calc_wp
               50219.1938                     0.14                      0.0                      0.0                      0.0                     0.01                     0.12                  4000000                      0.0                     0.02                     0.09                       24       1556840311.5463169                       75                       75                      300                     0.25                   475849                     1.51                     0.02                     1.21                     0.29                      0.0                     0.01                     0.04
                50219.194                     0.14                      0.0                      0.0                      0.0                     0.01                     0.11                  4000000                      0.0                     0.02                     0.09                       24       1556840414.4344788                       75                       75                      300                     0.25                   475993                     1.43                     0.02                     1.13                     0.28                      0.0                     0.01                     0.04
               50219.1941                     0.14                      0.0                      0.0                      0.0                     0.01                     0.11                  4000000                      0.0                     0.02                     0.09                       24       1556840512.3589036                       75                       75                      300                     0.25                   476310                     1.44                     0.02                     1.13                     0.29                      0.0                     0.01                     0.04
               50219.1943                     0.14                      0.0                      0.0                      0.0                     0.01                     0.11                  4000000                      0.0                     0.02                     0.09                       24       1556840610.7605772                       75                       75                      300                     0.25                   475825                     1.44                     0.02                     1.13                     0.28                      0.0                     0.01                     0.04
               50219.1945                     0.14                      0.0                      0.0                      0.0                     0.01                     0.11                  4000000                      0.0                     0.02                     0.09                       24       1556840708.8383503                       75                       75                      300                     0.25                   476639                     1.45                     0.02                     1.14                     0.29                      0.0                     0.01                     0.04
               50219.1946                     0.14                      0.0                      0.0                      0.0                     0.01                     0.11                  4000000                      0.0                     0.02                     0.09                       24       1556840807.6752596                       75                       75                      300                     0.25                   475649                     1.45                     0.02                     1.14                     0.29                      0.0                     0.01                     0.04
               50219.1948                     0.14                      0.0                      0.0                      0.0                     0.01                     0.12                  4000000                      0.0                     0.02                     0.09                       24       1556840906.7499762                       75                       75                      300                     0.75                   475866                     19.0                     0.25                    15.88                     2.87                      0.0                     0.01                     0.04
               50219.2007                     0.14                      0.0                      0.0                      0.0                     0.01                     0.11                  4000000                      0.0                     0.02                     0.09                       24       1556842058.8351262                       75                       75                      300                     0.75                   475570                    19.14                     0.23                    16.06                     2.85                      0.0                     0.01                     0.04
               50219.2026                     0.14                      0.0                      0.0                      0.0                     0.01                     0.11                  4000000                      0.0                     0.02                     0.09                       24        1556843219.801788                       75                       75                      300                     0.75                   475990                    18.92                     0.25                    15.79                     2.89                      0.0                     0.01                     0.04
               50219.2045                     0.14                      0.0                      0.0                      0.0                     0.01                     0.11                  4000000                      0.0                     0.02                     0.09                       24       1556844367.2545705                       75                       75                      300                     0.75                   476111                    18.74                     0.24                    15.67                     2.82                      0.0                     0.01                     0.04
