                  mocknum                  getmock              stack_boxes            push_box2catz             get_ra_dec_z             bin_redshifs              get_randoms                 numrands      push_box2catz_Rands       get_ra_dec_z_Rands       bin_redshifs_Rands                 nthreads               calc_stats                 numtbins                 numrbins                    pimax                     zbin                  numgals              calc_wtheta         wt_galgal_counts       wt_randrand_counts        wt_galrand_counts          wt_counts_to_cf
          50319.1501                 1.2                 0.0                 0.0                0.01                0.25                0.92             1347992                 0.0                0.09                0.81                  24   1556910174.698333                  75                  75                 300                0.67              428224                0.59                0.04                0.33                0.22                 0.0
          50319.1501                 1.2                 0.0                 0.0                0.01                0.25                0.92             1389840                 0.0                0.09                0.81                  24   1556910174.698333                  75                  75                 300                0.77              435012                0.69                0.04                 0.4                0.24                 0.0
          50319.1501                 1.2                 0.0                 0.0                0.01                0.25                0.92             1275882                 0.0                0.09                0.81                  24   1556910174.698333                  75                  75                 300                0.88              401172                0.76                0.05                0.46                0.26                 0.0
          50319.1501                 1.2                 0.0                 0.0                0.01                0.25                0.92             1178918                 0.0                0.09                0.81                  24   1556910174.698333                  75                  75                 300                0.99              380947                0.79                0.05                0.46                0.28                 0.0
          50319.1501                 1.2                 0.0                 0.0                0.01                0.25                0.92             1094893                 0.0                0.09                0.81                  24   1556910174.698333                  75                  75                 300                1.09              353796                0.78                0.05                0.45                0.28                 0.0
          50319.1501                 1.2                 0.0                 0.0                0.01                0.25                0.92             1023264                 0.0                0.09                0.81                  24   1556910174.698333                  75                  75                 300                 1.2              326039                 0.9                0.06                0.54                0.29                 0.0
          50319.1501                 1.2                 0.0                 0.0                0.01                0.25                0.92              961698                 0.0                0.09                0.81                  24   1556910174.698333                  75                  75                 300                1.31              296451                0.86                0.06                0.53                0.27                 0.0
          50319.1501                 1.2                 0.0                 0.0                0.01                0.25                0.92              902549                 0.0                0.09                0.81                  24   1556910174.698333                  75                  75                 300                1.41              281328                0.87                0.06                0.52                0.29                 0.0
          50319.1501                 1.2                 0.0                 0.0                0.01                0.25                0.92              847771                 0.0                0.09                0.81                  24   1556910174.698333                  75                  75                 300                1.52              270092                0.84                0.06                0.52                0.27                 0.0
          50319.1501                 1.2                 0.0                 0.0                0.01                0.25                0.92              784329                 0.0                0.09                0.81                  24   1556910174.698333                  75                  75                 300                1.63              255609                0.79                0.05                0.47                0.26                 0.0
          50319.1501                 1.2                 0.0                 0.0                0.01                0.25                0.92              392667                 0.0                0.09                0.81                  24   1556910174.698333                  75                  75                 300                1.73              127814                0.29                0.02                0.17                0.09                 0.0
          50319.1501                 1.2                 0.0                 0.0                0.01                0.25                0.92               49140                 0.0                0.09                0.81                  24   1556910174.698333                  75                  75                 300                1.84               15496                0.02                 0.0                0.01                0.01                 0.0
          50319.1501                 1.2                 0.0                 0.0                0.01                0.25                0.92                 167                 0.0                0.09                0.81                  24   1556910174.698333                  75                  75                 300                1.95                  59                 0.0                 0.0                 0.0                 0.0                 0.0
               50619.1316                     0.13                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557163012.5950909                       75                       75                      300                     0.75                   476337                     0.33                     0.31                      0.0                     0.01                      0.0
               50619.1317                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557163038.6319063                       75                       75                      300                     0.75                   476162                     0.33                     0.32                      0.0                     0.01                      0.0
               50619.1317                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557163065.5977232                       75                       75                      300                     0.75                   476023                     0.33                     0.31                      0.0                     0.01                      0.0
               50619.1318                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557163092.0506105                       75                       75                      300                     0.75                   476254                     0.33                     0.31                      0.0                     0.02                      0.0
               50619.1318                     0.04                      0.0                      0.0                      0.0                     0.02                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557163118.6121254                       75                       75                      300                     0.75                   476132                     0.33                     0.32                      0.0                     0.01                      0.0
               50619.1319                     0.04                      0.0                      0.0                      0.0                     0.02                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557163145.9349742                       75                       75                      300                     0.75                   475196                     0.34                     0.32                      0.0                     0.01                      0.0
               50619.1319                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557163172.6656442                       75                       75                      300                     0.75                   475757                     0.33                     0.32                      0.0                     0.01                      0.0
               50619.1319                     0.04                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557163199.4945903                       75                       75                      300                     0.75                   475863                     0.32                     0.31                      0.0                     0.01                      0.0
                50619.132                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557163225.5126748                       75                       75                      300                     0.75                   476187                     0.33                     0.32                      0.0                     0.01                      0.0
                50619.132                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557163251.8202016                       75                       75                      300                     0.75                   475059                     0.33                     0.32                      0.0                     0.01                      0.0
               50619.1321                     0.04                      0.0                      0.0                      0.0                     0.02                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557163278.1992548                       75                       75                      300                     0.75                   475905                     0.32                     0.31                      0.0                     0.01                      0.0
               50619.1321                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557163304.0121546                       75                       75                      300                     0.75                   476422                     0.32                      0.3                      0.0                     0.01                      0.0
               50619.1322                     0.04                      0.0                      0.0                      0.0                     0.02                      0.0                     5000                      0.0                      0.0                      0.0                       24        1557163330.039819                       75                       75                      300                     0.75                   476197                     0.33                     0.32                      0.0                     0.01                      0.0
               50619.1322                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24         1557163356.56856                       75                       75                      300                     0.75                   474674                     0.32                      0.3                      0.0                     0.01                      0.0
               50619.1323                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24        1557163382.256296                       75                       75                      300                     0.75                   475872                     0.34                     0.33                      0.0                     0.01                      0.0
               50619.1323                     0.04                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557163409.2045817                       75                       75                      300                     0.75                   476468                     0.33                     0.31                      0.0                     0.01                      0.0
               50619.1323                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24        1557163435.563623                       75                       75                      300                     0.75                   475586                     0.33                     0.31                      0.0                     0.01                      0.0
               50619.1324                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557163461.5975327                       75                       75                      300                     0.75                   475807                     0.32                     0.31                      0.0                     0.01                      0.0
               50619.1324                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557163487.5434372                       75                       75                      300                     0.75                   474930                     0.33                     0.31                      0.0                     0.02                      0.0
               50619.1325                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24        1557163513.767131                       75                       75                      300                     0.75                   476113                     0.32                     0.31                      0.0                     0.01                      0.0
               50619.1325                     0.04                      0.0                      0.0                      0.0                     0.01                      0.0                    50000                      0.0                      0.0                      0.0                       24        1557163539.663125                       75                       75                      300                     0.75                   476159                     0.38                     0.31                     0.01                     0.06                      0.0
               50619.1326                     0.04                      0.0                      0.0                      0.0                     0.01                      0.0                    50000                      0.0                      0.0                      0.0                       24       1557163569.1792784                       75                       75                      300                     0.75                   475786                     0.37                      0.3                     0.01                     0.06                      0.0
               50619.1334                     0.13                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557164054.8983154                       75                       75                      300                     0.75                   476168                     0.19                     0.17                      0.0                     0.01                      0.0
               50619.1334                     0.04                      0.0                      0.0                      0.0                     0.02                      0.0                     5000                      0.0                      0.0                      0.0                       24        1557164073.346403                       75                       75                      300                     0.75                   475913                     0.19                     0.18                      0.0                     0.01                      0.0
               50619.1334                     0.04                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557164091.4189262                       75                       75                      300                     0.75                   475458                     0.18                     0.17                      0.0                     0.01                      0.0
               50619.1335                     0.04                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557164108.9716609                       75                       75                      300                     0.75                   475369                     0.18                     0.17                      0.0                     0.01                      0.0
               50619.1335                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557164126.4765851                       75                       75                      300                     0.75                   476448                     0.19                     0.18                      0.0                     0.01                      0.0
               50619.1335                     0.04                      0.0                      0.0                      0.0                     0.02                      0.0                     5000                      0.0                      0.0                      0.0                       24        1557164144.716658                       75                       75                      300                     0.75                   475798                     0.18                     0.17                      0.0                     0.01                      0.0
               50619.1335                     0.04                      0.0                      0.0                      0.0                     0.02                      0.0                     5000                      0.0                      0.0                      0.0                       24        1557164162.466221                       75                       75                      300                     0.75                   476584                     0.19                     0.18                      0.0                     0.01                      0.0
               50619.1336                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24        1557164180.502789                       75                       75                      300                     0.75                   476133                     0.19                     0.18                      0.0                     0.01                      0.0
               50619.1336                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557164198.4435413                       75                       75                      300                     0.75                   475970                      0.2                     0.18                      0.0                     0.01                      0.0
               50619.1336                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557164216.7830362                       75                       75                      300                     0.75                   475984                     0.18                     0.17                      0.0                     0.01                      0.0
               50619.1337                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557164234.3736784                       75                       75                      300                     0.75                   475531                     0.18                     0.17                      0.0                     0.01                      0.0
               50619.1337                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557164251.9807544                       75                       75                      300                     0.75                   475055                     0.19                     0.18                      0.0                     0.01                      0.0
               50619.1337                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557164270.0976853                       75                       75                      300                     0.75                   475961                     0.18                     0.17                      0.0                     0.01                      0.0
               50619.1338                     0.04                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557164287.7596533                       75                       75                      300                     0.75                   475138                     0.18                     0.17                      0.0                     0.01                      0.0
               50619.1338                     0.04                      0.0                      0.0                      0.0                     0.02                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557164305.3306994                       75                       75                      300                     0.75                   475804                     0.19                     0.18                      0.0                     0.01                      0.0
               50619.1338                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557164323.5250173                       75                       75                      300                     0.75                   475904                     0.19                     0.18                      0.0                     0.01                      0.0
               50619.1338                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557164341.3662696                       75                       75                      300                     0.75                   476242                     0.19                     0.18                      0.0                     0.01                      0.0
               50619.1339                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24        1557164359.287775                       75                       75                      300                     0.75                   475906                     0.18                     0.17                      0.0                     0.01                      0.0
               50619.1339                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24       1557164376.5596526                       75                       75                      300                     0.75                   475737                     0.18                     0.17                      0.0                     0.01                      0.0
               50619.1339                     0.03                      0.0                      0.0                      0.0                     0.01                      0.0                     5000                      0.0                      0.0                      0.0                       24        1557164393.748643                       75                       75                      300                     0.75                   475848                     0.19                     0.18                      0.0                     0.01                      0.0
                50619.134                     0.04                      0.0                      0.0                      0.0                     0.01                      0.0                    50000                      0.0                      0.0                      0.0                       24       1557164411.8782463                       75                       75                      300                     0.75                   476351                     0.22                     0.18                      0.0                     0.04                      0.0
