                  mocknum                 nthreads                  getmock              stack_boxes            push_box2catz             get_ra_dec_z             bin_redshifs              get_randoms                 numrands      push_box2catz_Rands       get_ra_dec_z_Rands       bin_redshifs_Rands               calc_stats                 numtbins                     zbin                  numgals              calc_wtheta            galgal_counts          randrand_counts           galrand_counts             counts_to_cf
               43019.1307                       24                     0.36                      0.0                      0.0                     0.01                      0.1                     0.14                  4000000                      0.0                     0.03                      0.1        1556644147.451233                       75                      0.8                  2402550                     2.81                     0.68                     0.74                     1.38                      0.0
          43019.1307                  24                0.36                 0.0                 0.0                0.01                 0.1                0.14             4000000                 0.0                0.03                 0.1   1556644147.451233                  75                 1.6             1403322                2.23                0.57                 0.6                1.06                 0.0
