                  mocknum                 nthreads       getmock_calcwtheta                 numtbins              stack_boxes            push_box2catz             get_ra_dec_z             bin_redshifs              get_randoms                 numrands      push_box2catz_Rands       get_ra_dec_z_Rands       bin_redshifs_Rands                     zbin                  numgals              calc_wtheta            galgal_counts          randrand_counts           galrand_counts             counts_to_cf
               41119.0956                       24       1554991015.8375309                       50                      0.0                      0.0                     0.01                     0.13                     0.02                   500000                      0.0                     0.01                     0.02                     0.67                  1501780                     4.22                     3.45                     0.06                     0.71                      0.0
          41119.0956                  24  1554991015.8375309                  50                 0.0                 0.0                0.01                0.13                0.02              500000                 0.0                0.01                0.02                 1.2             1636396               12.04                9.85                0.18                2.01                 0.0
          41119.0956                  24  1554991015.8375309                  50                 0.0                 0.0                0.01                0.13                0.02              500000                 0.0                0.01                0.02                1.73              667320                 4.8                4.07                0.07                0.66                 0.0
