                  mocknum                 nthreads       getmock_calcwtheta              stack_boxes            push_box2catz             get_ra_dec_z             bin_redshifs              get_randoms                 numrands      push_box2catz_Rands       get_ra_dec_z_Rands       bin_redshifs_Rands                     zbin                  numgals              calc_wtheta            galgal_counts          randrand_counts           galrand_counts             counts_to_cf
               40519.1654                       32       1554497692.1704693                      0.0                      0.0                     0.01                     0.14                     0.17                  3807960                      0.0                     0.03                     0.14                     0.56                   666144                     0.22                     0.06                     0.06                     0.11                      0.0
          40519.1654                  32  1554497692.1704693                 0.0                 0.0                0.01                0.14                0.17             3807960                 0.0                0.03                0.14                0.88             1216089                0.83                0.21                0.22                 0.4                 0.0
          40519.1654                  32  1554497692.1704693                 0.0                 0.0                0.01                0.14                0.17             3807960                 0.0                0.03                0.14                 1.2              975448                0.94                0.25                0.25                0.44                 0.0
          40519.1654                  32  1554497692.1704693                 0.0                 0.0                0.01                0.14                0.17             3807960                 0.0                0.03                0.14                1.52              806762                0.84                0.22                0.22                0.39                 0.0
          40519.1654                  32  1554497692.1704693                 0.0                 0.0                0.01                0.14                0.17             3807960                 0.0                0.03                0.14                1.84              143517                0.05                0.02                0.01                0.02                 0.0
               40519.1658                       32       1554497885.9352713                      0.0                      0.0                     0.01                     0.16                     0.18                  3802912                      0.0                     0.03                     0.15                     0.56                   666539                     0.22                     0.06                     0.06                     0.11                      0.0
          40519.1658                  32  1554497885.9352713                 0.0                 0.0                0.01                0.16                0.18             3802912                 0.0                0.03                0.15                0.88             1213297                0.84                0.22                0.22                0.41                 0.0
          40519.1658                  32  1554497885.9352713                 0.0                 0.0                0.01                0.16                0.18             3802912                 0.0                0.03                0.15                 1.2              975288                0.95                0.25                0.25                0.44                 0.0
          40519.1658                  32  1554497885.9352713                 0.0                 0.0                0.01                0.16                0.18             3802912                 0.0                0.03                0.15                1.52              804502                0.86                0.22                0.22                0.41                 0.0
          40519.1658                  32  1554497885.9352713                 0.0                 0.0                0.01                0.16                0.18             3802912                 0.0                0.03                0.15                1.84              143286                0.05                0.02                0.01                0.02                 0.0
               40519.1701                       32        1554498083.363429                      0.0                      0.0                     0.01                     0.14                     0.17                  3807920                      0.0                     0.03                     0.14                     0.56                   667094                     0.22                     0.06                     0.06                     0.11                      0.0
          40519.1701                  32   1554498083.363429                 0.0                 0.0                0.01                0.14                0.17             3807920                 0.0                0.03                0.14                0.88             1215589                0.84                0.21                0.22                0.41                 0.0
          40519.1701                  32   1554498083.363429                 0.0                 0.0                0.01                0.14                0.17             3807920                 0.0                0.03                0.14                 1.2              976312                0.95                0.26                0.25                0.44                 0.0
          40519.1701                  32   1554498083.363429                 0.0                 0.0                0.01                0.14                0.17             3807920                 0.0                0.03                0.14                1.52              805767                0.86                0.23                0.23                 0.4                 0.0
          40519.1701                  32   1554498083.363429                 0.0                 0.0                0.01                0.14                0.17             3807920                 0.0                0.03                0.14                1.84              143158                0.05                0.02                0.01                0.02                 0.0
               40519.1704                       32       1554498279.4098244                      0.0                      0.0                     0.01                     0.14                     0.17                  3808280                      0.0                     0.03                     0.14                     0.56                   666685                     0.22                     0.06                     0.06                     0.11                      0.0
          40519.1704                  32  1554498279.4098244                 0.0                 0.0                0.01                0.14                0.17             3808280                 0.0                0.03                0.14                0.88             1215828                0.84                0.21                0.21                0.41                 0.0
          40519.1704                  32  1554498279.4098244                 0.0                 0.0                0.01                0.14                0.17             3808280                 0.0                0.03                0.14                 1.2              976051                0.97                0.26                0.25                0.46                 0.0
          40519.1704                  32  1554498279.4098244                 0.0                 0.0                0.01                0.14                0.17             3808280                 0.0                0.03                0.14                1.52              806042                0.86                0.23                0.23                 0.4                 0.0
          40519.1704                  32  1554498279.4098244                 0.0                 0.0                0.01                0.14                0.17             3808280                 0.0                0.03                0.14                1.84              143674                0.06                0.02                0.01                0.02                 0.0
               40519.1707                       32        1554498476.570663                      0.0                      0.0                     0.01                     0.14                     0.17                  3810104                      0.0                     0.03                     0.14                     0.56                   666623                     0.22                     0.06                     0.06                      0.1                      0.0
          40519.1707                  32   1554498476.570663                 0.0                 0.0                0.01                0.14                0.17             3810104                 0.0                0.03                0.14                0.88             1216840                0.83                0.21                0.22                0.41                 0.0
          40519.1707                  32   1554498476.570663                 0.0                 0.0                0.01                0.14                0.17             3810104                 0.0                0.03                0.14                 1.2              976359                0.98                0.27                0.25                0.46                 0.0
          40519.1707                  32   1554498476.570663                 0.0                 0.0                0.01                0.14                0.17             3810104                 0.0                0.03                0.14                1.52              807288                0.85                0.23                0.22                 0.4                 0.0
          40519.1707                  32   1554498476.570663                 0.0                 0.0                0.01                0.14                0.17             3810104                 0.0                0.03                0.14                1.84              142994                0.05                0.02                0.01                0.02                 0.0
               40519.1711                       32        1554498672.528044                      0.0                      0.0                     0.01                     0.14                     0.17                  3806544                      0.0                     0.03                     0.14                     0.56                   665928                     0.22                     0.06                     0.06                     0.11                      0.0
          40519.1711                  32   1554498672.528044                 0.0                 0.0                0.01                0.14                0.17             3806544                 0.0                0.03                0.14                0.88             1215640                0.84                0.22                0.22                 0.4                 0.0
          40519.1711                  32   1554498672.528044                 0.0                 0.0                0.01                0.14                0.17             3806544                 0.0                0.03                0.14                 1.2              975466                0.97                0.26                0.26                0.44                 0.0
          40519.1711                  32   1554498672.528044                 0.0                 0.0                0.01                0.14                0.17             3806544                 0.0                0.03                0.14                1.52              806170                0.88                0.24                0.23                0.41                 0.0
          40519.1711                  32   1554498672.528044                 0.0                 0.0                0.01                0.14                0.17             3806544                 0.0                0.03                0.14                1.84              143340                0.05                0.01                0.02                0.02                 0.0
               40519.1714                       32       1554498870.8334842                      0.0                      0.0                     0.01                     0.14                     0.17                  3809888                      0.0                     0.03                     0.14                     0.56                   665373                     0.22                     0.06                     0.05                     0.11                      0.0
          40519.1714                  32  1554498870.8334842                 0.0                 0.0                0.01                0.14                0.17             3809888                 0.0                0.03                0.14                0.88             1217856                0.85                0.21                0.22                0.41                 0.0
          40519.1714                  32  1554498870.8334842                 0.0                 0.0                0.01                0.14                0.17             3809888                 0.0                0.03                0.14                 1.2              974525                0.95                0.25                0.25                0.45                 0.0
          40519.1714                  32  1554498870.8334842                 0.0                 0.0                0.01                0.14                0.17             3809888                 0.0                0.03                0.14                1.52              808497                0.87                0.24                0.23                0.41                 0.0
          40519.1714                  32  1554498870.8334842                 0.0                 0.0                0.01                0.14                0.17             3809888                 0.0                0.03                0.14                1.84              143637                0.05                0.02                0.01                0.02                 0.0
               40519.1717                       32       1554499067.7255037                      0.0                      0.0                     0.01                     0.16                     0.18                  3805032                      0.0                     0.03                     0.14                     0.56                   665758                     0.22                     0.05                     0.06                     0.11                      0.0
          40519.1717                  32  1554499067.7255037                 0.0                 0.0                0.01                0.16                0.18             3805032                 0.0                0.03                0.14                0.88             1215277                0.84                0.21                0.22                0.41                 0.0
          40519.1717                  32  1554499067.7255037                 0.0                 0.0                0.01                0.16                0.18             3805032                 0.0                0.03                0.14                 1.2              974672                0.94                0.25                0.25                0.44                 0.0
          40519.1717                  32  1554499067.7255037                 0.0                 0.0                0.01                0.16                0.18             3805032                 0.0                0.03                0.14                1.52              805767                0.87                0.24                0.22                0.41                 0.0
          40519.1717                  32  1554499067.7255037                 0.0                 0.0                0.01                0.16                0.18             3805032                 0.0                0.03                0.14                1.84              143558                0.05                0.02                0.01                0.02                 0.0
               40519.1721                       32        1554499265.379932                      0.0                      0.0                     0.01                     0.12                     0.15                  3802680                      0.0                     0.03                     0.12                     0.67                  1500340                      1.1                     0.28                     0.29                     0.54                      0.0
          40519.1721                  32   1554499265.379932                 0.0                 0.0                0.01                0.12                0.15             3802680                 0.0                0.03                0.12                 1.2             1635959                2.35                0.62                0.62                1.11                 0.0
          40519.1721                  32   1554499265.379932                 0.0                 0.0                0.01                0.12                0.15             3802680                 0.0                0.03                0.12                1.73              666381                0.69                0.19                 0.2                0.31                 0.0
               40519.1725                       32       1554499532.1060598                      0.0                      0.0                     0.01                     0.12                     0.15                  3808280                      0.0                     0.03                     0.11                     0.67                  1503120                     1.11                     0.28                     0.29                     0.54                      0.0
          40519.1725                  32  1554499532.1060598                 0.0                 0.0                0.01                0.12                0.15             3808280                 0.0                0.03                0.11                 1.2             1637449                2.33                0.62                0.61                 1.1                 0.0
          40519.1725                  32  1554499532.1060598                 0.0                 0.0                0.01                0.12                0.15             3808280                 0.0                0.03                0.11                1.73              667711                 0.7                0.19                0.19                0.32                 0.0
               40519.1729                       32       1554499798.4139676                      0.0                      0.0                     0.01                     0.11                     0.15                  3802992                      0.0                     0.03                     0.11                     0.67                  1502283                     1.11                     0.29                     0.28                     0.54                      0.0
          40519.1729                  32  1554499798.4139676                 0.0                 0.0                0.01                0.11                0.15             3802992                 0.0                0.03                0.11                 1.2             1635553                2.32                0.61                0.61                 1.1                 0.0
          40519.1729                  32  1554499798.4139676                 0.0                 0.0                0.01                0.11                0.15             3802992                 0.0                0.03                0.11                1.73              665156                0.69                0.18                0.19                0.32                 0.0
               40519.1734                       32        1554500062.983118                      0.0                      0.0                     0.01                     0.11                     0.14                  3802248                      0.0                     0.03                     0.11                     0.67                  1501223                     1.11                     0.28                     0.28                     0.55                      0.0
          40519.1734                  32   1554500062.983118                 0.0                 0.0                0.01                0.11                0.14             3802248                 0.0                0.03                0.11                 1.2             1634838                2.31                 0.6                0.62                1.09                 0.0
          40519.1734                  32   1554500062.983118                 0.0                 0.0                0.01                0.11                0.14             3802248                 0.0                0.03                0.11                1.73              666187                 0.7                0.19                0.19                0.32                 0.0
               40519.1738                       32        1554500327.964572                      0.0                      0.0                     0.01                     0.13                     0.16                  3805064                      0.0                     0.03                     0.12                     0.67                  1501252                      1.1                     0.28                     0.28                     0.54                      0.0
          40519.1738                  32   1554500327.964572                 0.0                 0.0                0.01                0.13                0.16             3805064                 0.0                0.03                0.12                 1.2             1636654                2.32                0.61                0.62                1.09                 0.0
          40519.1738                  32   1554500327.964572                 0.0                 0.0                0.01                0.13                0.16             3805064                 0.0                0.03                0.12                1.73              667158                0.69                0.19                0.19                0.31                 0.0
               40519.1743                       32       1554500594.2423358                      0.0                      0.0                     0.01                     0.11                     0.14                  3811648                      0.0                     0.03                     0.11                     0.67                  1504724                     1.13                     0.29                      0.3                     0.54                      0.0
          40519.1743                  32  1554500594.2423358                 0.0                 0.0                0.01                0.11                0.14             3811648                 0.0                0.03                0.11                 1.2             1639358                2.34                0.63                0.62                1.09                 0.0
          40519.1743                  32  1554500594.2423358                 0.0                 0.0                0.01                0.11                0.14             3811648                 0.0                0.03                0.11                1.73              667566                 0.7                0.18                 0.2                0.31                 0.0
               40519.1747                       32       1554500861.5257967                      0.0                      0.0                     0.01                     0.11                     0.14                  3801520                      0.0                     0.03                     0.11                     0.67                  1500161                     1.09                     0.28                     0.28                     0.52                      0.0
          40519.1747                  32  1554500861.5257967                 0.0                 0.0                0.01                0.11                0.14             3801520                 0.0                0.03                0.11                 1.2             1635278                2.32                0.61                0.61                1.09                 0.0
          40519.1747                  32  1554500861.5257967                 0.0                 0.0                0.01                0.11                0.14             3801520                 0.0                0.03                0.11                1.73              666081                0.69                0.19                0.18                0.32                 0.0
               40519.1752                       32       1554501124.5575824                      0.0                      0.0                     0.01                     0.12                     0.15                  3809816                      0.0                     0.03                     0.11                     0.67                  1504170                     1.11                     0.28                     0.29                     0.54                      0.0
          40519.1752                  32  1554501124.5575824                 0.0                 0.0                0.01                0.12                0.15             3809816                 0.0                0.03                0.11                 1.2             1638377                2.35                0.63                0.63                 1.1                 0.0
          40519.1752                  32  1554501124.5575824                 0.0                 0.0                0.01                0.12                0.15             3809816                 0.0                0.03                0.11                1.73              667269                0.69                0.19                0.19                 0.3                 0.0
               40519.1756                       32       1554501390.9002988                      0.0                      0.0                     0.01                     0.11                     0.14                  3810528                      0.0                     0.03                     0.11                     0.67                  1503139                      1.1                     0.28                     0.29                     0.53                      0.0
          40519.1756                  32  1554501390.9002988                 0.0                 0.0                0.01                0.11                0.14             3810528                 0.0                0.03                0.11                 1.2             1638787                2.33                0.63                0.61                1.09                 0.0
          40519.1756                  32  1554501390.9002988                 0.0                 0.0                0.01                0.11                0.14             3810528                 0.0                0.03                0.11                1.73              668602                 0.7                0.19                0.18                0.32                 0.0
                 40519.18                       32       1554501655.7895389                      0.0                      0.0                     0.01                     0.11                     0.15                  3800896                      0.0                     0.03                     0.11                     0.67                  1499758                     1.11                     0.28                     0.29                     0.54                      0.0
            40519.18                  32  1554501655.7895389                 0.0                 0.0                0.01                0.11                0.15             3800896                 0.0                0.03                0.11                 1.2             1634843                2.33                0.63                 0.6                1.09                 0.0
            40519.18                  32  1554501655.7895389                 0.0                 0.0                0.01                0.11                0.15             3800896                 0.0                0.03                0.11                1.73              666295                0.69                0.18                0.19                0.32                 0.0
               40519.1805                       32        1554501920.964813                      0.0                      0.0                     0.01                     0.11                     0.14                  3804200                      0.0                     0.03                     0.11                     0.67                  1501401                     1.11                     0.28                     0.29                     0.54                      0.0
          40519.1805                  32   1554501920.964813                 0.0                 0.0                0.01                0.11                0.14             3804200                 0.0                0.03                0.11                 1.2             1636038                2.33                0.64                 0.6                1.09                 0.0
          40519.1805                  32   1554501920.964813                 0.0                 0.0                0.01                0.11                0.14             3804200                 0.0                0.03                0.11                1.73              666761                0.68                0.19                0.19                 0.3                 0.0
               40519.1809                       32        1554502185.399828                      0.0                      0.0                     0.01                     0.11                     0.14                  3803600                      0.0                     0.03                     0.11                     0.67                  1500088                     1.09                     0.28                     0.28                     0.53                      0.0
          40519.1809                  32   1554502185.399828                 0.0                 0.0                0.01                0.11                0.14             3803600                 0.0                0.03                0.11                 1.2             1635631                2.33                0.62                0.62                1.09                 0.0
          40519.1809                  32   1554502185.399828                 0.0                 0.0                0.01                0.11                0.14             3803600                 0.0                0.03                0.11                1.73              667881                0.71                 0.2                0.19                0.32                 0.0
               40519.1814                       32       1554502450.3580692                      0.0                      0.0                     0.01                     0.11                     0.14                  3802672                      0.0                     0.03                     0.11                     0.67                  1501097                     1.11                     0.28                     0.29                     0.54                      0.0
          40519.1814                  32  1554502450.3580692                 0.0                 0.0                0.01                0.11                0.14             3802672                 0.0                0.03                0.11                 1.2             1635986                2.34                0.62                0.62                 1.1                 0.0
          40519.1814                  32  1554502450.3580692                 0.0                 0.0                0.01                0.11                0.14             3802672                 0.0                0.03                0.11                1.73              665589                0.69                0.19                0.19                0.32                 0.0
               40519.1818                       32       1554502716.8095813                      0.0                      0.0                     0.01                     0.11                     0.14                  3804888                      0.0                     0.03                     0.11                     0.67                  1501657                      1.1                     0.29                     0.28                     0.53                      0.0
          40519.1818                  32  1554502716.8095813                 0.0                 0.0                0.01                0.11                0.14             3804888                 0.0                0.03                0.11                 1.2             1635789                2.34                0.62                0.62                 1.1                 0.0
          40519.1818                  32  1554502716.8095813                 0.0                 0.0                0.01                0.11                0.14             3804888                 0.0                0.03                0.11                1.73              667442                0.69                0.19                0.19                0.31                 0.0
               40519.1823                       32        1554502981.844078                      0.0                      0.0                     0.01                     0.12                     0.15                  3808984                      0.0                     0.03                     0.12                     0.67                  1502396                     1.11                     0.28                     0.29                     0.54                      0.0
          40519.1823                  32   1554502981.844078                 0.0                 0.0                0.01                0.12                0.15             3808984                 0.0                0.03                0.12                 1.2             1638418                2.31                0.62                0.61                1.08                 0.0
          40519.1823                  32   1554502981.844078                 0.0                 0.0                0.01                0.12                0.15             3808984                 0.0                0.03                0.12                1.73              668170                0.68                0.19                0.19                 0.3                 0.0
               40519.1827                       32       1554503246.7131832                      0.0                      0.0                     0.01                     0.12                     0.14                  3810952                      0.0                     0.03                     0.11                     0.67                  1503272                     1.11                     0.28                     0.29                     0.54                      0.0
          40519.1827                  32  1554503246.7131832                 0.0                 0.0                0.01                0.12                0.14             3810952                 0.0                0.03                0.11                 1.2             1638809                2.34                0.63                0.62                 1.1                 0.0
          40519.1827                  32  1554503246.7131832                 0.0                 0.0                0.01                0.12                0.14             3810952                 0.0                0.03                0.11                1.73              668871                0.69                0.18                0.19                0.32                 0.0
               40519.1831                       32       1554503512.9753723                      0.0                      0.0                     0.01                     0.12                     0.14                  3803120                      0.0                     0.03                     0.11                     0.67                  1500239                     1.11                     0.28                     0.29                     0.54                      0.0
          40519.1831                  32  1554503512.9753723                 0.0                 0.0                0.01                0.12                0.14             3803120                 0.0                0.03                0.11                 1.2             1635201                2.34                0.61                0.63                 1.1                 0.0
          40519.1831                  32  1554503512.9753723                 0.0                 0.0                0.01                0.12                0.14             3803120                 0.0                0.03                0.11                1.73              667680                0.69                0.19                0.18                0.31                 0.0
               40519.1836                       32       1554503778.6204696                      0.0                      0.0                     0.01                     0.11                     0.15                  3814912                      0.0                     0.03                     0.12                     0.67                  1504655                     1.12                     0.29                     0.29                     0.55                      0.0
          40519.1836                  32  1554503778.6204696                 0.0                 0.0                0.01                0.11                0.15             3814912                 0.0                0.03                0.12                 1.2             1640279                2.35                0.61                0.63                1.11                 0.0
          40519.1836                  32  1554503778.6204696                 0.0                 0.0                0.01                0.11                0.15             3814912                 0.0                0.03                0.12                1.73              669978                0.68                0.18                0.19                0.32                 0.0
                40519.184                       32       1554504045.7021878                      0.0                      0.0                     0.01                     0.12                     0.14                  3808936                      0.0                     0.03                     0.11                     0.67                  1502977                     1.12                     0.28                     0.29                     0.55                      0.0
           40519.184                  32  1554504045.7021878                 0.0                 0.0                0.01                0.12                0.14             3808936                 0.0                0.03                0.11                 1.2             1637862                2.36                0.62                0.62                1.12                 0.0
           40519.184                  32  1554504045.7021878                 0.0                 0.0                0.01                0.12                0.14             3808936                 0.0                0.03                0.11                1.73              668097                0.69                0.19                0.19                0.31                 0.0
               40519.1845                       32       1554504314.0994456                      0.0                      0.0                     0.01                     0.12                     0.15                  3803176                      0.0                     0.03                     0.11                     0.67                  1500579                     1.11                     0.29                     0.29                     0.54                      0.0
          40519.1845                  32  1554504314.0994456                 0.0                 0.0                0.01                0.12                0.15             3803176                 0.0                0.03                0.11                 1.2             1635350                2.29                0.61                0.59                1.09                 0.0
          40519.1845                  32  1554504314.0994456                 0.0                 0.0                0.01                0.12                0.15             3803176                 0.0                0.03                0.11                1.73              667247                0.69                0.19                0.19                0.31                 0.0
               40519.2006                       32       1554509217.7352407                      0.0                      0.0                     0.01                     0.14                     0.18                  3803512                      0.0                     0.03                     0.15                     0.56                   666050                     0.76                      0.2                      0.2                     0.37                      0.0
          40519.2006                  32  1554509217.7352407                 0.0                 0.0                0.01                0.14                0.18             3803512                 0.0                0.03                0.15                0.88             1213888                3.45                0.94                0.92                1.59                 0.0
          40519.2006                  32  1554509217.7352407                 0.0                 0.0                0.01                0.14                0.18             3803512                 0.0                0.03                0.15                 1.2              975438                3.32                 0.9                0.91                1.51                 0.0
          40519.2006                  32  1554509217.7352407                 0.0                 0.0                0.01                0.14                0.18             3803512                 0.0                0.03                0.15                1.52              804840                4.35                1.23                1.24                1.88                 0.0
          40519.2006                  32  1554509217.7352407                 0.0                 0.0                0.01                0.14                0.18             3803512                 0.0                0.03                0.15                1.84              143296                0.21                0.05                0.05                 0.1                 0.0
               40519.2019                       32        1554509963.930135                      0.0                      0.0                     0.01                     0.14                     0.19                  3808064                      0.0                     0.03                     0.15                     0.56                   667018                     0.78                     0.21                      0.2                     0.37                      0.0
          40519.2019                  32   1554509963.930135                 0.0                 0.0                0.01                0.14                0.19             3808064                 0.0                0.03                0.15                0.88             1215728                3.41                0.92                0.91                1.58                 0.0
          40519.2019                  32   1554509963.930135                 0.0                 0.0                0.01                0.14                0.19             3808064                 0.0                0.03                0.15                 1.2              976332                3.33                 0.9                0.91                1.52                 0.0
          40519.2019                  32   1554509963.930135                 0.0                 0.0                0.01                0.14                0.19             3808064                 0.0                0.03                0.15                1.52              805817                4.35                1.24                1.23                1.87                 0.0
          40519.2019                  32   1554509963.930135                 0.0                 0.0                0.01                0.14                0.19             3808064                 0.0                0.03                0.15                1.84              143169                 0.2                0.05                0.05                 0.1                 0.0
               40519.2031                       32       1554510709.2574353                      0.0                      0.0                     0.01                     0.14                     0.17                  3807352                      0.0                     0.03                     0.13                     0.56                   666301                     0.77                      0.2                      0.2                     0.37                      0.0
          40519.2031                  32  1554510709.2574353                 0.0                 0.0                0.01                0.14                0.17             3807352                 0.0                0.03                0.13                0.88             1216128                3.44                0.92                0.92                1.59                 0.0
          40519.2031                  32  1554510709.2574353                 0.0                 0.0                0.01                0.14                0.17             3807352                 0.0                0.03                0.13                 1.2              975342                3.24                0.87                0.91                1.45                 0.0
          40519.2031                  32  1554510709.2574353                 0.0                 0.0                0.01                0.14                0.17             3807352                 0.0                0.03                0.13                1.52              806294                4.27                1.21                1.21                1.85                 0.0
          40519.2031                  32  1554510709.2574353                 0.0                 0.0                0.01                0.14                0.17             3807352                 0.0                0.03                0.13                1.84              143287                 0.2                0.06                0.05                0.09                 0.0
               40519.2044                       32       1554511444.5689197                      0.0                      0.0                     0.01                     0.14                     0.17                  3806488                      0.0                     0.03                     0.14                     0.56                   665242                     0.77                      0.2                      0.2                     0.37                      0.0
          40519.2044                  32  1554511444.5689197                 0.0                 0.0                0.01                0.14                0.17             3806488                 0.0                0.03                0.14                0.88             1216240                3.41                0.92                0.93                1.56                 0.0
          40519.2044                  32  1554511444.5689197                 0.0                 0.0                0.01                0.14                0.17             3806488                 0.0                0.03                0.14                 1.2              974875                3.26                0.87                0.92                1.47                 0.0
          40519.2044                  32  1554511444.5689197                 0.0                 0.0                0.01                0.14                0.17             3806488                 0.0                0.03                0.14                1.52              806683                4.34                1.23                1.24                1.87                 0.0
          40519.2044                  32  1554511444.5689197                 0.0                 0.0                0.01                0.14                0.17             3806488                 0.0                0.03                0.14                1.84              143448                 0.2                0.06                0.05                0.09                 0.0
               40519.2056                       32       1554512184.3696735                      0.0                      0.0                     0.01                     0.14                     0.18                  3804992                      0.0                     0.03                     0.14                     0.56                   666197                     0.76                      0.2                      0.2                     0.36                      0.0
          40519.2056                  32  1554512184.3696735                 0.0                 0.0                0.01                0.14                0.18             3804992                 0.0                0.03                0.14                0.88             1215592                 3.4                0.92                0.91                1.57                 0.0
          40519.2056                  32  1554512184.3696735                 0.0                 0.0                0.01                0.14                0.18             3804992                 0.0                0.03                0.14                 1.2              973760                3.33                0.92                0.94                1.47                 0.0
          40519.2056                  32  1554512184.3696735                 0.0                 0.0                0.01                0.14                0.18             3804992                 0.0                0.03                0.14                1.52              806868                4.34                1.21                1.25                1.88                 0.0
          40519.2056                  32  1554512184.3696735                 0.0                 0.0                0.01                0.14                0.18             3804992                 0.0                0.03                0.14                1.84              142575                 0.2                0.06                0.05                0.09                 0.0
               40519.2108                       32        1554512927.829521                      0.0                      0.0                     0.01                     0.14                     0.18                  3802912                      0.0                     0.03                     0.14                     0.56                   666138                     0.76                      0.2                      0.2                     0.36                      0.0
          40519.2108                  32   1554512927.829521                 0.0                 0.0                0.01                0.14                0.18             3802912                 0.0                0.03                0.14                0.88             1214390                3.37                0.92                0.91                1.54                 0.0
          40519.2108                  32   1554512927.829521                 0.0                 0.0                0.01                0.14                0.18             3802912                 0.0                0.03                0.14                 1.2              974463                3.33                 0.9                0.93                 1.5                 0.0
          40519.2108                  32   1554512927.829521                 0.0                 0.0                0.01                0.14                0.18             3802912                 0.0                0.03                0.14                1.52              805061                4.36                1.24                1.26                1.87                 0.0
          40519.2108                  32   1554512927.829521                 0.0                 0.0                0.01                0.14                0.18             3802912                 0.0                0.03                0.14                1.84              142860                 0.2                0.05                0.05                0.09                 0.0
               40519.2121                       32       1554513670.2125678                      0.0                      0.0                     0.01                     0.15                     0.17                  3800704                      0.0                     0.03                     0.14                     0.56                   666262                     0.77                     0.21                      0.2                     0.37                      0.0
          40519.2121                  32  1554513670.2125678                 0.0                 0.0                0.01                0.15                0.17             3800704                 0.0                0.03                0.14                0.88             1213239                3.44                0.91                0.95                1.58                 0.0
          40519.2121                  32  1554513670.2125678                 0.0                 0.0                0.01                0.15                0.17             3800704                 0.0                0.03                0.14                 1.2              974410                3.28                0.88                0.91                1.49                 0.0
          40519.2121                  32  1554513670.2125678                 0.0                 0.0                0.01                0.15                0.17             3800704                 0.0                0.03                0.14                1.52              803875                4.29                1.23                1.25                1.82                 0.0
          40519.2121                  32  1554513670.2125678                 0.0                 0.0                0.01                0.15                0.17             3800704                 0.0                0.03                0.14                1.84              142918                 0.2                0.05                0.05                 0.1                 0.0
               40519.2133                       32       1554514410.4969287                      0.0                      0.0                     0.01                     0.14                     0.17                  3802904                      0.0                     0.03                     0.13                     0.56                   666015                     0.76                      0.2                      0.2                     0.36                      0.0
          40519.2133                  32  1554514410.4969287                 0.0                 0.0                0.01                0.14                0.17             3802904                 0.0                0.03                0.13                0.88             1213848                 3.4                0.91                0.92                1.57                 0.0
          40519.2133                  32  1554514410.4969287                 0.0                 0.0                0.01                0.14                0.17             3802904                 0.0                0.03                0.13                 1.2              974905                 3.3                0.91                0.91                1.48                 0.0
          40519.2133                  32  1554514410.4969287                 0.0                 0.0                0.01                0.14                0.17             3802904                 0.0                0.03                0.13                1.52              804679                4.39                1.25                1.27                1.88                 0.0
          40519.2133                  32  1554514410.4969287                 0.0                 0.0                0.01                0.14                0.17             3802904                 0.0                0.03                0.13                1.84              143457                 0.2                0.05                0.05                 0.1                 0.0
               40519.2145                       32       1554515153.8442094                      0.0                      0.0                     0.01                     0.15                     0.17                  3808472                      0.0                     0.03                     0.14                     0.56                   667141                     0.77                      0.2                      0.2                     0.36                      0.0
          40519.2145                  32  1554515153.8442094                 0.0                 0.0                0.01                0.15                0.17             3808472                 0.0                0.03                0.14                0.88             1215748                3.41                0.94                 0.9                1.57                 0.0
