                  mocknum                 nthreads       getmock_calcwtheta              stack_boxes            push_box2catz             get_ra_dec_z             bin_redshifs              get_randoms                 numrands      push_box2catz_Rands       get_ra_dec_z_Rands       bin_redshifs_Rands                     zbin                  numgals              calc_wtheta            galgal_counts          randrand_counts           galrand_counts             counts_to_cf
               40519.1648                       32       1554497291.4792752                      0.0                      0.0                     0.01                     0.16                     0.19                  3813192                      0.0                     0.03                     0.15                     0.56                   667114                     0.22                     0.06                     0.06                      0.1                      0.0
          40519.1648                  32  1554497291.4792752                 0.0                 0.0                0.01                0.16                0.19             3813192                 0.0                0.03                0.15                0.88             1218085                0.84                0.22                0.22                0.41                 0.0
          40519.1648                  32  1554497291.4792752                 0.0                 0.0                0.01                0.16                0.19             3813192                 0.0                0.03                0.15                 1.2              976503                0.96                0.26                0.24                0.45                 0.0
          40519.1648                  32  1554497291.4792752                 0.0                 0.0                0.01                0.16                0.19             3813192                 0.0                0.03                0.15                1.52              807679                0.85                0.23                0.22                 0.4                 0.0
          40519.1648                  32  1554497291.4792752                 0.0                 0.0                0.01                0.16                0.19             3813192                 0.0                0.03                0.15                1.84              143811                0.06                0.02                0.01                0.03                 0.0
               40519.1651                       32       1554497496.8733683                      0.0                      0.0                     0.01                     0.14                     0.17                  3803096                      0.0                     0.03                     0.14                     0.56                   667239                     0.22                     0.06                     0.06                     0.11                      0.0
          40519.1651                  32  1554497496.8733683                 0.0                 0.0                0.01                0.14                0.17             3803096                 0.0                0.03                0.14                0.88             1213469                0.84                0.21                0.22                0.41                 0.0
          40519.1651                  32  1554497496.8733683                 0.0                 0.0                0.01                0.14                0.17             3803096                 0.0                0.03                0.14                 1.2              975624                0.95                0.26                0.25                0.44                 0.0
          40519.1651                  32  1554497496.8733683                 0.0                 0.0                0.01                0.14                0.17             3803096                 0.0                0.03                0.14                1.52              804172                0.85                0.23                0.22                 0.4                 0.0
          40519.1651                  32  1554497496.8733683                 0.0                 0.0                0.01                0.14                0.17             3803096                 0.0                0.03                0.14                1.84              142592                0.05                0.01                0.01                0.02                 0.0
